Item,Instruction_1,Instruction_2,Instruction_3,Category
aerosol cans (empty)/empty aerosol cans,Cans containing hazardous products must be disposed of as Household Hazardous Waste.,"If empty, place can, with lid on, in the Blue Bin.",,Blue Bin
spray paint cans (empty),Cans that still have paint must be disposed of as Household Hazardous Waste.,"If empty, place can, with lid on, in the Blue Bin (recycling).",,Blue Bin
aluminum burner liner,Place this empty and clean item in the Blue Bin.,,,Blue Bin
aluminum pie plate,Place any leftover food in the Green Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
aluminum plate,Place any leftover food in the Green Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
aluminum roasting pan,Place any leftover food in the Green Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
aluminum roasting tray,Place any leftover food in the Green Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
aluminum tray,Place any leftover food in the Green Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
appliance boxes,Remove as much tape and labels as possible and put those in the Garbage Bin.,Flatten/break down and place in the Blue Bin.,"Any extra cardboard should be flattened, cut into pieces that could fit into an empty recycling bin and bundled with string or twine, then placed beside the Blue Bin.",Blue Bin
aseptic cartons,Remove plastic straw and/or pull tab and place those in the Garbage Bin.,"Place this empty, rinsed item, in its original shape (not flattened), with lid on, in the Blue Bin (recycling).",,Blue Bin
Tetra Pak containers,Remove plastic straw and/or pull tab and place those in the Garbage Bin.,"Place this empty item, in its original shape (not flattened), in the Blue Bin.",,Blue Bin
baby food glass jar,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,,Blue Bin
beer bottles,Place beer bottle caps in the Garbage Bin.,"Place this empty, rinsed item in the Blue Bin.",,Blue Bin
beer cans,"Place this empty, rinsed item in the Blue Bin.","Alternatively, alcohol containers can be returned for deposit to the Beer Store.",,Blue Bin
biscuit tin,Place this empty item in the Blue Bin.,,,Blue Bin
cookie tin,Place this empty item in the Blue Bin.,,,Blue Bin
Rubbermaid plastic food containers,Place any black plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
Tupperware,Place any black plastic in the Garbage Bin.,Place this empty and clean item in the Blue Bin.,,Blue Bin
books/textbooks/text books,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,"Alternatively, place this item in the Blue Bin.",,Blue Bin
Bristol boards,"Place paper that is dirty, soiled or with excessive paint or glue in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
candy metal tins,"Place this empty item, with lid on, in the Blue Bin (recycling).",,,Blue Bin
mint metal tins,"Place this empty item, with lid on, in the Blue Bin (recycling).",,,Blue Bin
air conditioner (portable),"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
cardstock,"Place paper that is dirty, soiled or with excessive paint or glue in the Garbage Bin.",Place clean paper in the Blue Bin.,,Blue Bin
cardboard boxes (unwaxed),Remove as much tape and labels as possible and put those in the Garbage Bin.,Flatten/break down and place in the Blue Bin.,"Any extra cardboard should be flattened, cut into pieces that could fit into an empty recycling bin and bundled with string or twine, then placed beside the Blue Bin.",Blue Bin
cardboard nut cans,Remove any foil or plastic seals and place those in the Garbage Bin.,"Place this empty, rinsed item, with lid on, in the Blue Bin.",,Blue Bin
